miRNA	targetID	symbol
hsa-miR-155	147741	ZNF560
hsa-miR-155	2592	GALT
hsa-miR-155	7776	ZNF236
hsa-miR-155	80762	NDFIP1
hsa-miR-155	1436	CSF1R
hsa-miR-155	1455	CSNK1G2
hsa-miR-155	8301	PICALM
hsa-miR-155	9515	STXBP5L
hsa-miR-155	4651	MYO10
hsa-miR-155	79665	DHX40
hsa-miR-155	79587	CARS2
hsa-miR-155	140545	RNF32
hsa-miR-155	80204	FBXO11
hsa-miR-155	57379	AICDA
hsa-miR-155	55074	OXR1
hsa-miR-155	79000	AUNIP
hsa-miR-155	56853	CELF4
hsa-miR-155	7699	ZNF140
hsa-miR-155	23286	WWC1
hsa-miR-155	9241	NOG
hsa-miR-155	151278	CCDC140
hsa-miR-155	254065	BRWD3
hsa-miR-155	55714	TENM3
hsa-miR-155	5250	SLC25A3
hsa-miR-155	54542	RC3H2
hsa-miR-155	1432	MAPK14
hsa-miR-155	3190	HNRNPK
hsa-miR-155	1870	E2F2
hsa-miR-155	27143	PALD1
hsa-miR-155	3185	HNRNPF
hsa-miR-155	2992	GYG1
hsa-miR-155	4642	MYO1D
hsa-miR-155	23678	SGK3
hsa-miR-155	55632	G2E3
hsa-miR-155	1901	S1PR1
hsa-miR-155	148198	ZNF98
hsa-miR-155	167691	LCA5
hsa-miR-155	6047	RNF4
hsa-miR-155	65056	GPBP1
hsa-miR-155	9037	SEMA5A
hsa-miR-155	9804	TOMM20
hsa-miR-155	283461	C12orf40
hsa-miR-155	1184	CLCN5
hsa-miR-155	2113	ETS1
hsa-miR-155	79960	JADE1
hsa-miR-155	8748	ADAM20
hsa-miR-155	118427	OLFM3
hsa-miR-155	9499	MYOT
hsa-miR-155	51274	KLF3
hsa-miR-155	6688	SPI1
hsa-miR-155	284613	CYB561D1
hsa-miR-155	3020	H3-3A
hsa-miR-155	27302	BMP10
hsa-miR-155	1359	CPA3
hsa-miR-155	122402	TDRD9
hsa-miR-155	286190	LACTB2-AS1
hsa-miR-155	143458	LDLRAD3
hsa-miR-155	6609	SMPD1
hsa-miR-155	2254	FGF9
hsa-miR-155	91653	BOC
hsa-miR-155	94104	PAXBP1
hsa-miR-155	2554	GABRA1
hsa-miR-155	388536	ZNF790
hsa-miR-155	6197	RPS6KA3
hsa-miR-155	22834	ZNF652
hsa-miR-155	3358	HTR2C
hsa-miR-155	153918	ZC2HC1B
hsa-miR-155	10194	TSHZ1
hsa-miR-155	29966	STRN3
hsa-miR-155	4594	MMUT
hsa-miR-155	8651	SOCS1
hsa-miR-155	53346	TM6SF1
hsa-miR-155	3925	STMN1
hsa-miR-155	339766	MROH2A
hsa-miR-155	22954	TRIM32
hsa-miR-155	79901	CYBRD1
hsa-miR-155	26065	LSM14A
hsa-miR-155	55379	LRRC59
hsa-miR-155	653140	FAM228A
hsa-miR-155	5586	PKN2
hsa-miR-155	64641	EBF2
hsa-miR-155	115908	CTHRC1
hsa-miR-155	54454	ATAD2B
hsa-miR-155	144348	ZNF664
hsa-miR-155	6503	SLA
hsa-miR-155	5771	PTPN2
hsa-miR-155	25897	RNF19A
hsa-miR-155	22841	RAB11FIP2
hsa-miR-155	83539	CHST9
hsa-miR-155	29979	UBQLN1
hsa-miR-155	80853	KDM7A
hsa-miR-155	6856	SYPL1
hsa-miR-155	55083	KIF26B
hsa-miR-155	5212	VIT
hsa-miR-155	55746	NUP133
hsa-miR-155	53637	S1PR5
hsa-miR-155	51156	SERPINA10
hsa-miR-155	26959	HBP1
hsa-miR-155	79577	CDC73
hsa-miR-155	5577	PRKAR2B
hsa-miR-155	4857	NOVA1
hsa-miR-155	147323	STARD6
hsa-miR-155	4050	LTB
hsa-miR-155	1466	CSRP2
hsa-miR-155	161742	SPRED1
hsa-miR-155	118672	PSTK
hsa-miR-155	285175	UNC80
hsa-miR-155	574414	PRR9
hsa-miR-155	55016	MARCHF1
hsa-miR-155	9320	TRIP12
hsa-miR-155	91526	ANKRD44
hsa-miR-155	7091	TLE4
hsa-miR-155	338949	TMEM202
hsa-miR-155	79685	SAP30L
hsa-miR-155	5970	RELA
hsa-miR-155	3512	JCHAIN
hsa-miR-155	9319	TRIP13
hsa-miR-155	3782	KCNN3
hsa-miR-155	11063	SOX30
hsa-miR-155	151188	ARL6IP6
hsa-miR-155	149986	LSM14B
hsa-miR-155	344787	ZNF860
hsa-miR-155	403273	OR5H14
hsa-miR-155	3840	KPNA4
hsa-miR-155	55860	ACTR10
hsa-miR-155	121457	IKBIP
hsa-miR-155	1044	CDX1
hsa-miR-155	23710	GABARAPL1
hsa-miR-155	5983	RFC3
hsa-miR-155	5101	PCDH9
hsa-miR-155	85451	UNK
hsa-miR-155	2252	FGF7
hsa-miR-155	56889	TM9SF3
hsa-miR-155	4677	NARS1
hsa-miR-155	8974	P4HA2
hsa-miR-155	84071	ARMC2
hsa-miR-155	22822	PHLDA1
hsa-miR-155	6239	RREB1
hsa-miR-155	10765	KDM5B
hsa-miR-155	4781	NFIB
hsa-miR-155	5629	PROX1
hsa-miR-155	8544	PIR
hsa-miR-155	55796	MBNL3
hsa-miR-155	2628	GATM
hsa-miR-155	100462977	MTRNR2L1
hsa-miR-155	10385	BTN2A2
hsa-miR-155	80320	SP6
hsa-miR-155	55186	SLC25A36
hsa-miR-155	6921	ELOC
hsa-miR-155	147923	ZNF420
hsa-miR-155	7290	HIRA
hsa-miR-155	23621	BACE1
hsa-miR-155	5805	PTS
hsa-miR-155	3845	KRAS
hsa-miR-155	374462	PTPRQ
hsa-miR-155	57677	ZFP14
hsa-miR-155	2117	ETV3
hsa-miR-155	55554	KLK15
hsa-miR-155	6597	SMARCA4
hsa-miR-155	54586	EQTN
hsa-miR-155	202018	TAPT1
hsa-miR-155	113263	GLCCI1
hsa-miR-155	54838	WBP1L
hsa-miR-155	2561	GABRB2
hsa-miR-155	6386	SDCBP
hsa-miR-155	57085	AGTRAP
hsa-miR-155	6950	TCP1
hsa-miR-155	339324	ZNF260
hsa-miR-155	11069	RAPGEF4
hsa-miR-155	90843	TCEAL8
hsa-miR-155	23333	DPY19L1
hsa-miR-155	339559	ZFP69
hsa-miR-155	57786	RBAK
hsa-miR-155	5290	PIK3CA
hsa-miR-155	6934	TCF7L2
hsa-miR-155	7306	TYRP1
hsa-miR-155	6299	SALL1
hsa-miR-155	9185	REPS2
hsa-miR-155	81566	CSRNP2
hsa-miR-155	84262	PSMG3
hsa-miR-155	85403	EAF1
hsa-miR-155	9937	DCLRE1A
hsa-miR-155	2778	GNAS
hsa-miR-155	5358	PLS3
hsa-miR-155	6310	ATXN1
hsa-miR-155	11099	PTPN21
hsa-miR-155	56300	IL36G
hsa-miR-155	60468	BACH2
hsa-miR-155	85460	ZNF518B
hsa-miR-155	3635	INPP5D
hsa-miR-155	6879	TAF7
hsa-miR-155	93134	ZNF561
hsa-miR-155	257236	CCDC96
hsa-miR-155	120	ADD3
hsa-miR-155	151050	KANSL1L
hsa-miR-155	81619	TSPAN14
hsa-miR-155	7857	SCG2
hsa-miR-155	83932	SPRTN
hsa-miR-155	78990	OTUB2
hsa-miR-155	4698	NDUFA5
hsa-miR-155	51719	CAB39
hsa-miR-155	23245	ASTN2
hsa-miR-155	5675	PSG6
hsa-miR-155	163486	DENND1B
hsa-miR-155	2169	FABP2
hsa-miR-155	85464	SSH2
hsa-miR-155	9947	MAGEC1
hsa-miR-155	6095	RORA
hsa-miR-155	6641	SNTB1
hsa-miR-155	151531	UPP2
hsa-miR-155	4830	NME1
hsa-miR-155	421	ARVCF
hsa-miR-155	51280	GOLM1
hsa-miR-155	7187	TRAF3
hsa-miR-155	10725	NFAT5
hsa-miR-155	283450	HECTD4
hsa-miR-155	4603	MYBL1
hsa-miR-155	1452	CSNK1A1
hsa-miR-155	79081	LBHD1
hsa-miR-155	80324	PUS1
hsa-miR-155	54799	MBTD1
hsa-miR-155	10451	VAV3
hsa-miR-155	51028	VPS36
hsa-miR-155	221079	ARL5B
hsa-miR-155	79862	ZNF669
hsa-miR-155	2895	GRID2
hsa-miR-155	143187	VTI1A
hsa-miR-155	6654	SOS1
hsa-miR-155	996	CDC27
hsa-miR-155	9792	SERTAD2
hsa-miR-155	57107	PDSS2
hsa-miR-155	29126	CD274
hsa-miR-155	5830	PEX5
hsa-miR-155	84315	MON1A
hsa-miR-155	84196	USP48
hsa-miR-155	257169	C9orf43
hsa-miR-155	7013	TERF1
hsa-miR-155	23632	CA14
hsa-miR-155	2355	FOSL2
hsa-miR-155	10036	CHAF1A
hsa-miR-155	4087	SMAD2
hsa-miR-155	57615	ZNF492
hsa-miR-155	961	CD47
hsa-miR-155	116028	RMI2
hsa-miR-155	8030	CCDC6
hsa-miR-155	56983	POGLUT1
hsa-miR-155	26045	LRRTM2
hsa-miR-155	65059	RAPH1
hsa-miR-155	8822	FGF17
hsa-miR-155	29919	RMC1
hsa-miR-155	166968	MIER3
hsa-miR-155	65267	WNK3
hsa-miR-155	51082	POLR1D
hsa-miR-155	9793	CKAP5
hsa-miR-155	8087	FXR1
hsa-miR-155	55769	ZNF83
hsa-miR-155	9118	INA
hsa-miR-155	54329	GPR85
hsa-miR-155	9693	RAPGEF2
hsa-miR-155	284129	SLC26A11
hsa-miR-155	9020	MAP3K14
hsa-miR-155	9717	SEC14L5
hsa-miR-155	392255	GDF6
hsa-miR-155	60481	ELOVL5
hsa-miR-155	1827	RCAN1
hsa-miR-155	84458	LCOR
hsa-miR-155	10218	ANGPTL7
hsa-miR-155	57688	ZSWIM6
hsa-miR-155	64839	FBXL17
hsa-miR-155	163071	ZNF114
hsa-miR-155	253260	RICTOR
hsa-miR-155	55183	RIF1
hsa-miR-155	126074	SWSAP1
hsa-miR-155	27329	ANGPTL3
hsa-miR-155	8224	SYN3
hsa-miR-155	729920	CRPPA
hsa-miR-155	23451	SF3B1
hsa-miR-155	54796	BNC2
hsa-miR-155	55208	DCUN1D2
hsa-miR-155	7026	NR2F2
hsa-miR-155	8239	USP9X
hsa-miR-155	57680	CHD8
hsa-miR-155	55028	C17orf80
hsa-miR-155	100379661	GRIK1-AS2
hsa-miR-155	10659	CELF2
hsa-miR-155	4969	OGN
hsa-miR-155	84433	CARD11
hsa-miR-155	55540	IL17RB
hsa-miR-155	90007	MIDN
hsa-miR-155	9227	LRAT
hsa-miR-155	150353	DNAJB7
hsa-miR-155	729025	SLC15A5
hsa-miR-155	23078	VWA8
hsa-miR-155	53354	PANK1
hsa-miR-155	10060	ABCC9
hsa-miR-155	219790	RTKN2
hsa-miR-155	81578	COL21A1
hsa-miR-155	5756	TWF1
hsa-miR-155	30010	NXPH1
hsa-miR-155	219972	MPEG1
hsa-miR-155	11168	PSIP1
hsa-miR-155	8013	NR4A3
hsa-miR-155	23204	ARL6IP1
hsa-miR-155	7270	TTF1
hsa-miR-155	25840	METTL7A
hsa-miR-155	118429	ANTXR2
hsa-miR-155	9439	MED23
hsa-miR-155	79944	L2HGDH
hsa-miR-155	2650	GCNT1
hsa-miR-155	4211	MEIS1
hsa-miR-155	6304	SATB1
hsa-miR-155	10739	RFPL2
hsa-miR-155	387921	NHLRC3
hsa-miR-155	57162	PELI1
hsa-miR-155	221264	AK9
hsa-miR-155	360203	GLT6D1
hsa-miR-155	121278	TPH2
hsa-miR-155	10085	EDIL3
hsa-miR-155	64794	DDX31
hsa-miR-155	5569	PKIA
hsa-miR-155	55157	DARS2
hsa-miR-155	56892	TCIM
hsa-miR-155	4090	SMAD5
hsa-miR-155	51759	C9orf78
hsa-miR-155	23673	STX12
hsa-miR-155	9908	G3BP2
hsa-miR-155	51136	RNFT1
hsa-miR-155	54933	RHBDL2
hsa-miR-155	4026	LPP
hsa-miR-155	7227	TRPS1
hsa-miR-155	9313	MMP20
hsa-miR-155	11216	AKAP10
hsa-miR-155	23201	FAM168A
hsa-miR-155	64764	CREB3L2
hsa-miR-155	22992	KDM2A
hsa-miR-155	2020	EN2
hsa-miR-155	54790	TET2
hsa-miR-155	80319	CXXC4
hsa-miR-155	79581	SLC52A2
hsa-miR-155	9970	NR1I3
hsa-miR-155	388650	DIPK1A
hsa-miR-155	8690	JRKL
hsa-miR-155	79809	TTC21B
hsa-miR-155	10926	DBF4
hsa-miR-155	586	BCAT1
hsa-miR-155	3337	DNAJB1
hsa-miR-155	3702	ITK
hsa-miR-155	6588	SLN
hsa-miR-155	440822	PIWIL3
hsa-miR-155	7855	FZD5
hsa-miR-155	2152	F3
hsa-miR-155	200150	PLD5
hsa-miR-155	124739	USP43
hsa-miR-155	26091	HERC4
hsa-miR-155	7029	TFDP2
hsa-miR-155	57795	BRINP2
hsa-miR-155	9342	SNAP29
hsa-miR-155	196951	FAM227B
hsa-miR-155	26263	FBXO22
hsa-miR-155	3836	KPNA1
hsa-miR-155	55070	DET1
hsa-miR-155	55680	RUFY2
hsa-miR-155	5305	PIP4K2A
hsa-miR-155	284058	KANSL1
hsa-miR-155	55752	SEPTIN11
hsa-miR-155	51669	SARAF
hsa-miR-155	137868	SGCZ
hsa-miR-155	3034	HAL
hsa-miR-155	1182	CLCN3
hsa-miR-155	79048	SECISBP2
hsa-miR-155	4205	MEF2A
hsa-miR-155	83871	RAB34
hsa-miR-155	54466	SPIN2A
hsa-miR-155	51134	CEP83
hsa-miR-155	9324	HMGN3
hsa-miR-155	9734	HDAC9
hsa-miR-155	1557	CYP2C19
hsa-miR-155	388951	TSPYL6
hsa-miR-155	90693	CCDC126
hsa-miR-155	90120	TMEM250
hsa-miR-155	56254	RNF20
hsa-miR-155	10500	SEMA6C
hsa-miR-155	144108	SPTY2D1
hsa-miR-155	128061	C1orf131
hsa-miR-155	84250	SLF1
hsa-miR-155	5764	PTN
hsa-miR-155	6670	SP3
hsa-miR-155	83759	RBM4B
hsa-miR-155	7559	ZNF12
hsa-miR-155	2824	GPM6B
hsa-miR-155	3091	HIF1A
hsa-miR-155	340419	RSPO2
hsa-miR-155	8835	SOCS2
hsa-miR-155	9534	ZNF254
hsa-miR-155	11152	WDR45
hsa-miR-155	5879	RAC1
hsa-miR-155	9990	SLC12A6
hsa-miR-155	79596	OBI1
hsa-miR-155	3570	IL6R
hsa-miR-155	6999	TDO2
hsa-miR-155	154215	NKAIN2
hsa-miR-155	142827	ACSM6
hsa-miR-155	55531	ELMOD1
hsa-miR-155	643923	NA
hsa-miR-155	373	TRIM23
hsa-miR-155	11177	BAZ1A
hsa-miR-155	27097	TAF5L
hsa-miR-155	55080	TAPBPL
hsa-miR-155	57708	MIER1
hsa-miR-155	80139	ZNF703
hsa-miR-155	10094	ARPC3
hsa-miR-155	162967	ZNF320
hsa-miR-155	93663	ARHGAP18
hsa-miR-155	118611	C10orf90
hsa-miR-155	6198	RPS6KB1
hsa-miR-155	56130	PCDHB6
hsa-miR-155	165257	C1QL2
hsa-miR-155	9444	QKI
hsa-miR-155	7294	TXK
hsa-miR-155	80321	CEP70
hsa-miR-155	284996	RNF149
hsa-miR-155	4885	NPTX2
hsa-miR-155	90990	KIFC2
hsa-miR-155	1808	DPYSL2
hsa-miR-155	2918	GRM8
hsa-miR-155	114793	FMNL2
hsa-miR-155	79088	ZNF426
hsa-miR-155	5908	RAP1B
hsa-miR-155	55108	BSDC1
hsa-miR-155	5602	MAPK10
hsa-miR-155	23177	CEP68
hsa-miR-155	317	APAF1
hsa-miR-155	7323	UBE2D3
hsa-miR-155	114815	SORCS1
hsa-miR-155	55041	PLEKHB2
hsa-miR-155	55924	INKA2
hsa-miR-155	93627	TBCK
hsa-miR-155	23261	CAMTA1
hsa-miR-155	10804	GJB6
hsa-miR-155	64398	MPP5
hsa-miR-155	83942	TSSK1B
hsa-miR-155	116931	MED12L
hsa-miR-155	57415	C3orf14
hsa-miR-155	152404	IGSF11
hsa-miR-155	5861	RAB1A
hsa-miR-155	6431	SRSF6
hsa-miR-155	3481	IGF2
hsa-miR-155	9683	N4BP1
hsa-miR-155	81627	TRMT1L
hsa-miR-155	4602	MYB
hsa-miR-155	6158	RPL28
hsa-miR-155	7531	YWHAE
hsa-miR-155	51778	MYOZ2
hsa-miR-155	6575	SLC20A2
hsa-miR-155	10802	SEC24A
hsa-miR-155	56944	OLFML3
hsa-miR-155	25791	NGEF
hsa-miR-155	57035	RSRP1
hsa-miR-155	23112	TNRC6B
hsa-miR-155	51747	LUC7L3
hsa-miR-155	51371	POMP
hsa-miR-155	10135	NAMPT
hsa-miR-155	27032	ATP2C1
hsa-miR-155	100271715	ARHGEF33
hsa-miR-155	1559	CYP2C9
hsa-miR-155	11061	CNMD
hsa-miR-155	6938	TCF12
hsa-miR-155	25827	FBXL2
hsa-miR-155	65217	PCDH15
hsa-miR-155	22865	SLITRK3
hsa-miR-155	23020	SNRNP200
hsa-miR-155	55224	ETNK2
hsa-miR-155	6663	SOX10
hsa-miR-155	56142	PCDHA6
hsa-miR-155	8491	MAP4K3
hsa-miR-155	57181	SLC39A10
hsa-miR-155	56271	BEX4
hsa-miR-155	114991	ZNF618
hsa-miR-155	1678	TIMM8A
hsa-miR-155	22887	FOXJ3
hsa-miR-155	402117	VWC2L
hsa-miR-155	406	ARNTL
hsa-miR-155	1008	CDH10
hsa-miR-155	56897	WRNIP1
hsa-miR-155	119548	PNLIPRP3
hsa-miR-155	1441	CSF3R
hsa-miR-155	51684	SUFU
hsa-miR-155	1244	ABCC2
hsa-miR-155	84436	ZNF528
hsa-miR-155	174	AFP
hsa-miR-155	59338	PLEKHA1
hsa-miR-155	580	BARD1
hsa-miR-155	9685	CLINT1
hsa-miR-155	5695	PSMB7
hsa-miR-155	11230	PRAF2
hsa-miR-155	23118	TAB2
hsa-miR-155	64768	IPPK
hsa-miR-155	10325	RRAGB
hsa-miR-155	6662	SOX9
hsa-miR-155	6785	ELOVL4
hsa-miR-155	29121	CLEC2D
hsa-miR-155	150275	CCDC117
hsa-miR-155	5137	PDE1C
hsa-miR-155	84206	MEX3B
hsa-miR-155	4208	MEF2C
hsa-miR-155	8682	PEA15
hsa-miR-155	23179	RGL1
hsa-miR-155	258	AMBN
hsa-miR-155	3694	ITGB6
hsa-miR-155	9306	SOCS6
hsa-miR-155	137886	UBXN2B
hsa-miR-155	678	ZFP36L2
hsa-miR-155	225	ABCD2
hsa-miR-155	7745	ZKSCAN8
hsa-miR-155	154313	CFAP206
hsa-miR-155	59342	SCPEP1
hsa-miR-155	51315	KRCC1
hsa-miR-155	26052	DNM3
hsa-miR-155	627	BDNF
hsa-miR-155	5067	CNTN3
hsa-miR-155	55791	LRIF1
hsa-miR-155	65062	TMEM237
hsa-miR-155	4956	ODF1
hsa-miR-155	9706	ULK2
hsa-miR-155	653333	FAM86B2
hsa-miR-155	767	CA8
hsa-miR-155	125488	TTC39C
hsa-miR-155	27075	TSPAN13
hsa-miR-155	152330	CNTN4
hsa-miR-155	55862	ECHDC1
hsa-miR-155	6272	SORT1
hsa-miR-155	10550	ARL6IP5
hsa-miR-155	10721	POLQ
hsa-miR-155	91664	ZNF845
hsa-miR-155	252884	ZNF396
hsa-miR-155	3309	HSPA5
hsa-miR-155	79884	MAP9
hsa-miR-155	54988	ACSM5
hsa-miR-155	6664	SOX11
hsa-miR-155	23426	GRIP1
hsa-miR-155	57144	PAK5
hsa-miR-155	256764	WDR72
hsa-miR-155	5274	SERPINI1
hsa-miR-155	6885	MAP3K7
hsa-miR-155	346389	MACC1
hsa-miR-155	257415	FAM133B
hsa-miR-155	400713	ZNF880
hsa-miR-155	4286	MITF
hsa-miR-155	7763	ZFAND5
hsa-miR-155	2017	CTTN
hsa-miR-155	84515	MCM8
hsa-miR-155	54956	PARP16
hsa-miR-155	114801	TMEM200A
hsa-miR-155	51128	SAR1B
hsa-miR-155	79145	CHCHD7
hsa-miR-155	26148	NA
hsa-miR-155	23515	MORC3
hsa-miR-155	219736	STOX1
hsa-miR-155	116449	CLNK
hsa-miR-155	26512	INTS6
hsa-miR-155	57617	VPS18
hsa-miR-155	8533	COPS3
hsa-miR-155	4009	LMX1A
hsa-miR-155	54954	FAM120C
hsa-miR-155	6493	SIM2
hsa-miR-155	6667	SP1
hsa-miR-155	56145	PCDHA3
hsa-miR-155	23580	CDC42EP4
hsa-miR-155	56143	PCDHA5
hsa-miR-155	10803	CCR9
hsa-miR-155	84636	GPR174
hsa-miR-155	85015	USP45
hsa-miR-155	56138	PCDHA11
hsa-miR-155	130497	OSR1
hsa-miR-155	56141	PCDHA7
hsa-miR-155	908	CCT6A
hsa-miR-155	54739	XAF1
hsa-miR-155	79616	CCNJL
hsa-miR-155	84146	ZNF644
hsa-miR-155	56146	PCDHA2
hsa-miR-155	56147	PCDHA1
hsa-miR-155	55266	TMEM19
hsa-miR-155	5324	PLAG1
hsa-miR-155	7280	TUBB2A
hsa-miR-155	29935	RPA4
hsa-miR-155	25843	MOB4
hsa-miR-155	286499	FAM133A
hsa-miR-155	23471	TRAM1
hsa-miR-155	1102	RCBTB2
hsa-miR-155	11213	IRAK3
hsa-miR-155	79754	ASB13
hsa-miR-155	79876	UBA5
hsa-miR-155	56140	PCDHA8
hsa-miR-155	56144	PCDHA4
hsa-miR-155	89910	UBE3B
hsa-miR-155	643836	ZFP62
hsa-miR-155	95681	CEP41
hsa-miR-155	5681	PSKH1
hsa-miR-155	80731	THSD7B
hsa-miR-155	11075	STMN2
hsa-miR-155	29775	CARD10
hsa-miR-155	4824	NKX3-1
hsa-miR-155	57491	AHRR
hsa-miR-155	817	CAMK2D
hsa-miR-155	889	KRIT1
hsa-miR-155	57337	SENP7
hsa-miR-155	6009	RHEB
hsa-miR-155	7532	YWHAG
hsa-miR-155	10150	MBNL2
hsa-miR-155	1912	PHC2
hsa-miR-155	23568	ARL2BP
hsa-miR-155	130733	TMEM178A
hsa-miR-155	1071	CETP
hsa-miR-155	1493	CTLA4
hsa-miR-155	91404	SESTD1
hsa-miR-155	9073	CLDN8
hsa-miR-155	64395	GMCL1
hsa-miR-155	23576	DDAH1
hsa-miR-155	7399	USH2A
hsa-miR-155	204851	HIPK1
hsa-miR-155	2932	GSK3B
hsa-miR-155	29969	MDFIC
hsa-miR-155	26985	AP3M1
hsa-miR-155	10611	PDLIM5
hsa-miR-155	23705	CADM1
hsa-miR-155	1962	EHHADH
hsa-miR-155	80856	LNPK
hsa-miR-155	330	BIRC3
hsa-miR-155	23171	GPD1L
hsa-miR-155	2957	GTF2A1
hsa-miR-155	54839	LRRC49
hsa-miR-155	2273	FHL1
hsa-miR-155	55914	ERBIN
hsa-miR-155	285668	C5orf64
hsa-miR-155	5870	RAB6A
hsa-miR-155	79073	TMEM109
hsa-miR-155	133584	EGFLAM
hsa-miR-155	56882	CDC42SE1
hsa-miR-155	10090	UST
hsa-miR-155	51411	BIN2
hsa-miR-155	79611	ACSS3
hsa-miR-155	3375	IAPP
hsa-miR-155	2752	GLUL
hsa-miR-155	347273	CAVIN4
hsa-miR-155	205428	DIPK2A
hsa-miR-155	80108	ZFP2
hsa-miR-155	255743	NPNT
hsa-miR-155	25912	C1orf43
hsa-miR-155	5978	REST
hsa-miR-155	3188	HNRNPH2
hsa-miR-155	2897	GRIK1
hsa-miR-155	51617	NSG2
hsa-miR-155	5083	PAX9
hsa-miR-155	57045	TWSG1
hsa-miR-155	55818	KDM3A
hsa-miR-155	2034	EPAS1
hsa-miR-155	5350	PLN
hsa-miR-155	6708	SPTA1
hsa-miR-155	196074	METTL15
hsa-miR-155	10098	TSPAN5
hsa-miR-155	2004	ELK3
hsa-miR-155	84632	AFAP1L2
hsa-miR-155	9063	PIAS2
hsa-miR-155	5095	PCCA
hsa-miR-155	23362	PSD3
hsa-miR-155	84869	CBR4
hsa-miR-155	152559	PAQR3
hsa-miR-155	23059	CLUAP1
hsa-miR-155	2304	FOXE1
hsa-miR-155	55902	ACSS2
hsa-miR-155	10718	NRG3
hsa-miR-155	55624	POMGNT1
hsa-miR-155	84447	SYVN1
hsa-miR-155	6653	SORL1
hsa-miR-155	83417	FCRL4
hsa-miR-155	57221	ARFGEF3
hsa-miR-155	339403	RXFP4
hsa-miR-155	6484	ST3GAL4
hsa-miR-155	81847	RNF146
hsa-miR-155	9988	DMTF1
hsa-miR-155	10783	NEK6
hsa-miR-155	139231	FAM199X
hsa-miR-155	2241	FER
hsa-miR-155	54875	CNTLN
hsa-miR-155	123036	TC2N
hsa-miR-155	9695	EDEM1
hsa-miR-155	284349	ZNF283
hsa-miR-155	5178	PEG3
hsa-miR-155	5575	PRKAR1B
hsa-miR-155	81537	SGPP1
hsa-miR-155	130399	ACVR1C
hsa-miR-155	285527	FRYL
hsa-miR-155	8766	RAB11A
hsa-miR-155	84203	TXNDC2
hsa-miR-155	148823	GCSAML
hsa-miR-155	8987	STBD1
hsa-miR-155	54495	TMX3
hsa-miR-155	92597	MOB1B
hsa-miR-155	283078	MKX
hsa-miR-155	54622	ARL15
hsa-miR-155	23382	AHCYL2
hsa-miR-155	10198	MPHOSPH9
hsa-miR-155	948	CD36
hsa-miR-155	57542	KLHL42
hsa-miR-155	116068	LYSMD3
hsa-miR-155	144453	BEST3
hsa-miR-155	4249	MGAT5
hsa-miR-155	382	ARF6
hsa-miR-155	755	CFAP410
hsa-miR-155	164781	DAW1
hsa-miR-155	170371	TMEM273
hsa-miR-155	388743	CAPN8
hsa-miR-155	131870	NUDT16
hsa-miR-155	131368	ZPLD1
hsa-miR-155	64429	ZDHHC6
